Empresa,Codigo
BRAVA,BRAV
COSAN       ,CSAN
PET MANGUINH,RPMG
PETROBRAS   ,PETR
PETRORECSA ,RECV
PETRORIO,PRIO
RAIZEN,RAIZ
ULTRAPAR    ,UGPA
VIBRA,VBBR
LUPATECH    ,LUPA
OCEANPACT,OPCT
OSX BRASIL  ,OSXB
AURA 360,AURA
BRADESPAR   ,BRAP
CBA,CBAV
CSNMINERACAO,CMIN
LITEL       ,LTEL
LITELA,LTLA
VALE        ,VALE
FERBASA     ,FESA
GERDAU      ,GGBR
GERDAU MET  ,GOAU
SID NACIONAL,CSNA
USIMINAS    ,USIM
MANGELS INDL,MGEL
PANATLANTICA,PATI
TEKNO       ,TKNO
PARANAPANEMA,PMAM
BRASKEM     ,BRKM
DEXXOS PAR,DEXP
FER HERINGER,FHER
NUTRIPLANT  ,NUTR
VITTIA,VITT
CRISTAL,CRPG
UNIPAR      ,UNIP
DEXCO,DXCO
EUCATEX     ,EUCA
KLABIN S/A  ,KLBN
MELHOR SP   ,MSPA
SUZANO HOLD ,NEMO
SUZANO S.A.,SUZB
IRANI ,RANI
SANSUY      ,SNSY
,
ETERNIT     ,ETER
HAGA S/A    ,HAGA
PORTOBELLO  ,PTBL
AZEVEDO     ,AZEV
SONDOTECNICA,SOND
EMBRAER     ,EMBR
FRAS-LE     ,FRAS
MARCOPOLO   ,POMO
RANDON PART ,RAPT
RECRUSUL    ,RCSL
RIOSULENSE  ,RSUL
TUPY        ,TUPY
WETZEL S/A  ,MWET
SCHULZ      ,SHUL
WEG         ,WEGE
ACO ALTONA  ,EALT
AERIS,AERI
ARMAC,ARML
BARDELLA    ,BDLL
INEPAR      ,INEP
KEPLER WEBER,KEPL
METALFRIO   ,FRIO
MILLS       ,MILS
NORDON MET  ,NORD
PRATICA,PTCA
ROMI   ,ROMI
METISA      ,MTSA
TAURUS ARMAS,TASA
AZUL,AZUL
GOL         ,GOLL
ALL NORTE   ,FRRN
FER C ATLANT,VSPT
MRS LOGIST  ,MRSA
RUMO S.A.,RAIL
HIDROVIAS,HBSA
LOG-IN      ,LOGN
TREVISA     ,LUXM
JSL         ,JSLG
TEGMA       ,TGMA
CCR SA      ,CCRO
CONC RIO TER,CRTE
ECORODOVIAS ,ECOR
ROD TIETE   ,RDVT
TRIUNFO PART,TPIS
GRUAIRPORT,AGRU
HMOBI S.A,HMOB
INVEPAR     ,IVPR
PORTO VM,PSVM
SANTOS BRP  ,STBP
WILSON SONS ,PORT
ATMASA,ATMP
BBMLOGISTICA,BBML
DTCOM-DIRECT,DTCY
ESTAPAR,ALPK
GPS,GGPS
PRINER,PRNR
SEQUOIA LOG,SEQL
VALID       ,VLID
EMBPAR S/A,EPAR
MINASMAQUINA,MMAQ
RODOBENS,RBNS
WLM IND COM ,WLMM
,
3TENTOS,TTEN
AGRIBRASIL,GRAO
AGROGALAXY,AGXY
ALIPERTI    ,APTI
BOA SAFRA,SOJA
BRASILAGRO  ,AGRO
CTC S.A.,CTCA
GRANJA FARIA,EGGY
SLC AGRICOLA,SLCE
TERRASANTAPA,LAND
JALLESMACHAD,JALL
SAO MARTINHO,SMTO
BRF SA   ,BRFS
EXCELSIOR   ,BAUH
JBS         ,JBSS
MARFRIG     ,MRFG
MINERVA     ,BEEF
MINUPAR     ,MNPR
CAMIL,CAML
JOSAPAR     ,JOPA
M.DIASBRANCO,MDIA
ODERICH     ,ODER
AMBEV S/A,ABEV
GRUPO NATURA      ,NTCO
BOMBRIL     ,BOBR
ASSAI,ASAI
CARREFOUR BR,CRFB
EXITO,EXCO
GRUPO MATEUS,GMAT
P.ACUCAR-CBD,PCAR
ALPHAVILLE,AVLL
CONST A LIND,CALI
CURY S/A,CURY
CYRELA REALT,CYRE
DIRECIONAL  ,DIRR
EVEN        ,EVEN
EZTEC       ,EZTC
FICA,FIEI
GAFISA      ,GFSA
HELBOR      ,HBOR
INC SA,INNC
JHSF PART   ,JHSF
JOAO FORTES ,JFEN
KALLAS,KLAS
LAVVI,LAVV
MELNICK,MELK
MITRE REALTY,MTRE
MOURA DUBEUX,MDNE
MRV         ,MRVE
PDG REALT   ,PDGR
PLANOEPLANO,PLPL
RNI,RDNI
ROSSI RESID ,RSID
TECNISA     ,TCSA
TEGRA INCORP,TEGA
TENDA,TEND
TRISUL      ,TRIS
VIVER       ,VIVR
CEDRO       ,CEDO
COTEMINAS   ,CTNM
DOHLER      ,DOHL
IND CATAGUAS,CATA
KARSTEN     ,CTKA
PETTENATI   ,PTNT
SANTANENSE  ,CTSA
SPRINGS     ,SGPS
TEKA        ,TEKA
TEX RENAUX  ,TXRX
TRACK FIELD,TFCO
ALPARGATAS  ,ALPA
CAMBUCI     ,CAMB
GRENDENE    ,GRND
VULCABRAS   ,VULC
MUNDIAL     ,MNDL
TECHNOS     ,TECN
VIVARA S.A.,VIVA
WHIRLPOOL   ,WHRL
MOBLY,MBLY
UNICASA,UCAS
WESTWING,WEST
HERCULES    ,HETA
AUTOMOB,AMOB
IOCHP-MAXION,MYPK
METAL LEVE  ,LEVE
PLASCAR PART,PLAS
HOTEIS OTHON,HOOT
IMC S/A,MEAL
ZAMP S.A.,ZAMP
BIC MONARK  ,BMKS
ESTRELA     ,ESTR
SPTURIS     ,AHEB
TIME FOR FUN,SHOW
CVC BRASIL,CVCB
SMART FIT,SMFT
ANIMA,ANIM
BIOMA EDUC,BIED
COGNA ON,COGN
CRUZEIRO EDU,CSED
SER EDUCA,SEER
VITRUEDUCA,VTRU
YDUQS PART,YDUQ
LOCALIZA    ,RENT
MOVIDA,MOVI
VAMOS,VAMO
DOTZ SA,DOTZ
AZZAS 2154,AZZA
CEA MODAS,CEAB
GRAZZIOTIN  ,CGRA
GUARARAPES  ,GUAR
LOJAS MARISA,AMAR
LOJAS RENNER,LREN
VESTE,VSTE
ALLIED,ALLD
CASAS BAHIA,BHIA
MAGAZ LUIZA ,MGLU
AMERICANAS,AMER
ESPACOLASER,ESPA
GRUPO SBF,SBFG
LE BISCUIT,LLBI
PETZ,PETZ
QUERO-QUERO,LJQQ
BIOMM       ,BIOM
NORTCQUIMICA,NRTQ
OUROFINO S/A,OFSA
ALLIAR,AALR
DASA        ,DASA
FLEURY      ,FLRY
HAPVIDA,HAPV
KORA SAUDE,KRSA
MATER DEI,MATD
ODONTOPREV  ,ODPV
ONCOCLINICAS,ONCO
QUALICORP   ,QUAL
REDE D OR,RDOR
BAUMER      ,BALM
LIFEMED,LMED
BLAU,BLAU
D1000VFARMA,DMVF
DIMED       ,PNVL
EUROFARMA SA,EUFA
HYPERA,HYPE
PAGUE MENOS,PGMN
PROFARMA    ,PFRM
RAIADROGASIL    ,RADL
VIVEO,VVEO
INTELBRAS,INTB
MULTILASER,MLAS
POSITIVO TEC,POSI
BEMOBI TECH,BMOB
BRQ,BRQB
ENJOEI,ENJU
REAGINVEST,REAG
INFRACOMM,IFCM
LWSA,LWSA
MELIUZ,CASH
NEOGRID,NGRD
PADTEC,PDTC
QUALITY SOFT,QUSW
TC,TRAD
TOTVS       ,TOTS
WDC NETWORKS,LVTC
BRISANET,BRST
DESKTOP,DESK
OI,OIBR
TELEBRAS    ,TELB
TELEF BRASIL,VIVT
TIM,TIMS
UNIFIQUE,FIQE
ELETROMIDIA,ELMD
AESOPERACOES,AESO
AFLUENTE T  ,AFLT
ALUPAR,ALUP
AMPLA ENERG ,CBEE
AUREN,AURE
CEB         ,CEBR
CEEE-D      ,CEED
CELESC      ,CLSC
CELGPAR     ,GPAR
CEMIG       ,CMIG
COELBA      ,CEEB
COELCE      ,COCE
COMERC PAR,COMR
COPEL       ,CPLE
CPFL ENERGIA,CPFE
ELEKTRO     ,EKTR
ELETROBRAS  ,ELET
ELETROPAR   ,LIPR
EMAE        ,EMAE
ENERGISA    ,ENGI
ENERGISA MT,ENMT
ENEVA,ENEV
ENGIE BRASIL,EGIE
EQTL PARA,EQPA
EQTLMARANHAO,EQMA
EQUATORIAL  ,EQTL
GER PARANAP ,GEPA
LIGHT       ,LIGH
LIGHT S/A   ,LIGT
NEOENERGIA  ,NEOE
SERENA,SRNA
PROMAN      ,PRMN
REDE ENERGIA,REDE
RENOVA      ,RNEW
TAESA       ,TAEE
ISA ENERGIA,ISAE
AMBIPAR,AMBP
CASAN       ,CASN
COPASA      ,CSMG
IGUA SA  ,IGSN
ORIZON,ORVR
SABESP      ,SBSP
SANEPAR     ,SAPR
CEG         ,CEGR
COMGAS      ,CGAS
COMPASS,PASS
ABC BRASIL  ,ABCB
ALFA HOLDING,RPAD
AMAZONIA    ,BAZA
BANCO BMG,BMGB
BANCO PAN,BPAN
BANESE      ,BGIP
BANESTES    ,BEES
BANPARA     ,BPAR
BANRISUL    ,BRSR
BR PARTNERS,BRBI
BRADESCO    ,BBDC
BRASIL      ,BBAS
BRB BANCO   ,BSLI
BTGP BANCO,BPAC
INTER CO,INBR
ITAUUNIBANCO,ITUB
MERCANTIL,BMEB
MERC INVEST ,BMIN
NORD BRASIL ,BNBR
PINE        ,PINE
SANTANDER BR,SANB
DMFINANCEIRA,DMFN
MERC FINANC ,MERC
BRAZILIAN SC,BSCS
OPEA,RBRA
POLO CAP SEC,PLSC
G2D INVEST,G2DI
GP INVEST   ,GPIV
PPLA,PPLA
B3 ,B3SA
CLEARSALE,CLSA
CSU DIGITAL,CSUD
EQUIFAXBRL,EFXB
EVERTEC INC,EVTC
STONE CO,STOC
XP INC,XPBR
BBSEGURIDADE,BBSE
CAIXA SEGURI,CXSE
PORTO SEGURO,PSSA
IRBBRASIL RE,IRBR
WIZ CO,WIZC
ALLOS,ALOS
GENERALSHOPP,GSHP
HABITASUL   ,HBTS
HBR REALTY,HBRE
IGUATEMI S.A,IGTI
LOG COM PROP,LOGG
MENEZES CORT,MNZC
MULTIPLAN   ,MULT
PAR AL BAHIA,PEAB
SAO CARLOS  ,SCAR
SYN PROP TEC,SYNE
LOPES BRASIL,LPSB
NEXPE,NEXP
ITAUSA      ,ITSA
MONT ARANHA ,MOAR
SIMPAR,SIMH
CEPAC - CTBA,CTBA
CEPAC - MCRJ,MCRJ
CEPAC - PMSP,PMSP
524 PARTICIP,QVQP
FICTORALIMEN,FICT
BETAPART    ,BETP
CEMEPE      ,MAPT
GAMA PART   ,OPGM
INVEST BEMGE,FIGE
POLPAR      ,PPAR
PROMPT PART ,PRPT
SUDESTE S/A ,OPSE
SUL 116 PART,OPTS